dataset,model,percent,dim,score,CONT,TRUST,LCMC,score2,CONT2,TRUST2,LCMC2
motionsense,tae,5.0,16,0.6540489642184558,0.7239576615903567,0.6600701130557523,0.07438492522184482,0.6592278719397364,0.7329857180866656,0.6536224515104916,0.07532743229064784
motionsense,tae,25.0,46,0.7103578154425613,0.7323065718447433,0.6616226566974373,0.10136419006633116,0.7194915254237287,0.77814229150977,0.6621409792152388,0.10159981683353192
motionsense,tae,50.0,156,0.7345574387947269,0.755653971382058,0.6723042719471113,0.1089042466167553,0.7301318267419963,0.7657086390468503,0.6826120974615444,0.11950745114078923
motionsense,tae,75.0,103,0.734557438794727,0.7545480475672945,0.6661289340650915,0.10925768676755641,0.7208097928436912,0.7470100203383104,0.6592914173231896,0.09936136254512475
motionsense,tae,100.0,123,0.7079096045197739,0.7490848887706371,0.6602294147887928,0.09570914765351307,0.742467043314501,0.8058682902741388,0.6849369670212718,0.12745985453381467
motionsense,tae,200.0,465,0.7319209039548022,0.7667798389169737,0.6828299676661451,0.13635476499564314,0.695668549905838,0.7805454026850178,0.6830787850227058,0.1268118809240126
motionsense,umap,2.5,9,0.7520715630885122,0.7391682149637653,0.7025946565711683,0.15125815802109083,0.752542372881356,0.7391682149637653,0.7025946565711683,0.15125815802109083
motionsense,umap,5.0,16,0.7495291902071564,0.7420801784900947,0.7051603953118165,0.15720773389290987,0.7516007532956686,0.7420801784900947,0.7051603953118165,0.15720773389290987
motionsense,umap,25.0,39,0.7507532956685499,0.7054849740021376,0.6905844558487299,0.1334683370974339,0.7522598870056497,0.7054849740021376,0.6905844558487299,0.1334683370974339
motionsense,umap,50.0,13,0.758286252354049,0.7442269750934616,0.7038338391604922,0.1554405331389042,0.7581920903954802,0.7442269750934616,0.7038338391604922,0.1554405331389042
motionsense,umap,75.0,143,0.7587570621468926,0.7417638861956537,0.700613644255442,0.14860735689008234,0.7594161958568739,0.7417638861956537,0.700613644255442,0.14860735689008234
motionsense,umap,100.0,244,0.7664783427495292,0.7495577770361985,0.7017093087229255,0.15273082531609553,0.7690207156308851,0.7495577770361985,0.7017093087229255,0.15273082531609553
